,State,LE,RelativeLe
0,Alabama,75.1,0.10483870967741793
1,Alaska,77.94999999999999,0.5645161290322556
2,Arizona,79.25,0.774193548387096
3,Arkansas,75.75,0.20967741935483816
4,California,80.35,0.9516129032258046
5,Colorado,79.65,0.8387096774193549
6,Connecticut,80.35,0.9516129032258046
7,Delaware,78.0,0.5725806451612896
8,Florida,78.94999999999999,0.7258064516129006
9,Georgia,76.80000000000001,0.37903225806451735
10,Hawaii,80.65,1.0
11,Idaho,78.95,0.7258064516129029
12,Illinois,78.65,0.6774193548387099
13,Indiana,77.15,0.4354838709677422
14,Iowa,78.95,0.7258064516129029
15,Kansas,78.15,0.5967741935483872
16,Kentucky,75.7,0.20161290322580636
17,Louisiana,75.35,0.1451612903225792
18,Maine,78.7,0.6854838709677417
19,Maryland,78.44999999999999,0.6451612903225781
20,Massachusetts,80.1,0.9112903225806434
21,Michigan,77.8,0.5403225806451601
22,Minnesota,80.35,0.9516129032258046
23,Mississippi,74.45,0.0
24,Missouri,77.1,0.42741935483870813
25,Montana,78.35,0.6290322580645145
26,Nebraska,79.15,0.7580645161290324
27,Nevada,77.9,0.556451612903226
28,New Hampshire,79.9,0.8790322580645162
29,New Jersey,79.75,0.8548387096774185
30,New Mexico,77.9,0.556451612903226
31,New York,79.9,0.8790322580645162
32,North Carolina,77.3,0.4596774193548376
33,North Dakota,79.35,0.7903225806451596
34,Ohio,77.35,0.4677419354838694
35,Oklahoma,75.6,0.18548387096774047
36,Oregon,79.1,0.7499999999999983
37,Pennsylvania,78.2,0.604838709677419
38,Rhode Island,79.05000000000001,0.7419354838709687
39,South Carolina,76.45,0.32258064516129015
40,South Dakota,78.9,0.7177419354838711
41,Tennessee,76.05000000000001,0.2580645161290335
42,Texas,78.1,0.5887096774193532
43,Utah,79.69999999999999,0.8467741935483845
44,Vermont,79.44999999999999,0.8064516129032231
45,Virginia,78.5,0.6532258064516121
46,Washington,79.6,0.8306451612903208
47,West Virginia,75.35,0.1451612903225792
48,Wisconsin,79.3,0.7822580645161278
49,Wyoming,78.0,0.5725806451612896
